"小悪魔A","Imp A"
"唾液に濡れて艶めかしくうっすらと光るピンク色の唇に、
舐めまわすような舌の動き、その扇情的な光景に思わず
肉棒がびくりと震えてしまう。",""
"<小悪魔A>
『んふー♡おちんぽはしっかり覚えてるみたいだね♡
　いいこいいこー♡れろぉ♡』",""
"<小悪魔A>
『ご褒美にいっぱい先っぽ舐めてあげるねー♡
　れろぉ♡れろれろ♡』",""
"小悪魔は褒めるようにそう言いながら、
艶めかしく動く舌を亀頭に這わせるように舐めまわしながら、
ゆびでくりくりと先端を弄る。",""
"小悪魔の舌の甘い感触に、
肉棒は嬉しそうにびくびくと震えてしまい、
徐々に貴方の頭の中は真っ白になっていく。",""
"<小悪魔A>
『先っぽ舐められてるだけで、
　また目がとろーんってしてきたよー♡れろぉ♡』",""
"<小悪魔A>
『弱点をぺろぺろされちゃったら、
　やっぱり簡単に負け犬の目になっちゃうんだー♡
　よわーい♡れろぉ♡れろぉ♡』",""
"戦闘中と同じように、
小悪魔は貴方を馬鹿にしたような笑みで煽りながら、
一定のリズムで唾液を含んだ舌で亀頭を舐めまわす。",""
"何とかこの生意気な小悪魔に反論しようとするも、
快楽で貴方の思考はまともに働かない。",""
"<小悪魔A>
『あは♡されるがままで反論できないんだー♡
　よわよわおちんぽ我慢するので精一杯なのー？
　あ～むっ♡じゅるる♡』",""
"貴方の思考を見透かしたように小悪魔はそう言うと、
さらに追い詰めるために再び肉棒を咥えこむ。",""
"<小悪魔A>
『人間さんのおちんぽ、
　咥えられただけでもうイっちゃいそうだねー♡
　もっといっぱいもぐもぐしてあげる♡れろれろ♡』",""
"小悪魔は小さな舌で鈴口を弄りながら、
上目遣いで貴方を見つめている。
彼女が頬を動かすたびに亀頭は擦れるように刺激され、
肉棒は強い快感に襲われる。",""
"<小悪魔A>
『ん♡我慢汁止まらないねー♡
　このままトドメさしちゃおーっと♡』",""
"小悪魔は妖しく笑みを浮かべると、
頬を窄めてじゅるじゅると音を立て激しく肉棒を吸い上げる。
精液を吸い出すように、カリ首に唇を絡めながら、
激しいフェラで貴方の肉棒を追い詰めていく。",""
"<小悪魔A>
『ほらぁ♡我慢できないでしょー♡
　また私のお口に出しちゃえ♡
　魂まで吸い出してあげるよー♡ちゅぅぅ♡』",""
"激しい小悪魔の吸引に、
耐えきれずに貴方は精液を彼女の口に放ってしまう。",""
"\n[1]のレベルが1下がった。",""
"<小悪魔A>
『んふー♡たくさん出たねー♡
　ほらぁ♡これが人間さんのおちんぽが、
　私のフェラに負けちゃった証拠だよー♡』",""
"小悪魔は貴方の精液を口で受け止めると、
勝ち誇るように口を開いて舌の上で精子を転がすさまを
貴方に見せつける。",""
"その光景に屈辱感を煽られながらも、
思わず興奮して肉棒がむくむくと再び大きくなってしまう。",""
"<小悪魔A>
『まだおちんぽは搾られ足りないみたいだね♡
　安心してね？ちゃーんと全部吸い尽くしてあげるから♡
　あ～むっ♡』",""
"<小悪魔A>
『んふー♡イったばかりの敏感なおちんぽに、
　私のフェラが耐えられるかなー？じゅるるっ♡』",""
"小悪魔は貴方に休憩を許さず、
射精直後の敏感な肉棒を再び温かな口内で舐り始める。",""
"遠慮なく弱点を攻め立てるような小悪魔のフェラに、
貴方は思わず腰が引けてしまう。",""
"<小悪魔A>
『んっ♡んっ♡ちゅっ♡ほらぁ、逃がさないよー♡』",""
"そんな貴方を逃がさない様に、
小悪魔は激しく顔を前後させて、
肉棒を舌と唇でからめとる様に攻め立てる。",""
"許容量をはるかに超える快感に、
貴方は先ほどイったばかりだというのに
もう精液がせりあがってきてしまう。",""
"<小悪魔A>
『おちんぽビクビクしてきた♡もう負けちゃいそう？
　はやーい♡んっ♡じゅる♡』",""
"そんな貴方の肉棒の状態を小悪魔は見透かすと、
言葉でそう責め立てながらラストスパートにかかる。",""
"<小悪魔A>
『ほらほらぁ♡イっちゃえ♡
　よわよわおちんぽ、また私のお口に搾り取られちゃえ♡
　じゅるるっ♡』",""
"言葉でそう煽りながら、
小悪魔はじゅるじゅると音を立てて肉棒を吸引する。
貴方は小悪魔の命令するような視線に耐えきれない。",""
"目線に促されるまま、
貴方は再度大量の精液を小悪魔の口に出してしまう。",""
"<小悪魔A>
『んっ♡じゅるっ♡まだまだ残ってるでしょー？
　全部出すまで許してあげないからね♡』",""
"<小悪魔A>
『私のフェラで、人間さんの人生終わらせてあげるー♡』",""
"小悪魔は無邪気にそう笑いながら、
射精の最中も口を動かすことをやめない。
残った魂まで吸い出すように唇と舌で肉棒を舐り続ける。",""
"<小悪魔A>
『このままぜーんぶ私に吸い尽くされちゃえ♡
　んっ♡れろぉ♡じゅるるっ♡』",""
"たまらず精液を噴き出し続けて、文字通り、
貴方は小悪魔にすべてを吸い出されてしまう。",""
"………………………………",""
"もう、何も考えられなくなった貴方は
そのまま静かに意識を失ってしまった。",""
"シーン出現条件を見ますか？","View event requirements?"
"”1層にて小悪魔Aと戦う”","Fight Imp A on the first floor."
"EV002",""
"可憐（1戦目）と戦闘を行いますか？","Fight Enmi Karen (1)?"
"<可憐>
『ふぅ……もう動けないでしょ？私の勝ちだね』",""
"体力がなくなり、
身体が動かなくなった貴方を見下ろしながら、
可憐はそう勝ち誇る。",""
"<可憐>
『素人の\n[1]君に対して、大人げなかったかな？
　でも勝ちは勝ちだからね♪』",""
"<可憐>
『さ、私が勝ったからには……
　\n[1]君のレベル、もらっちゃおうかな♡』",""
"可憐はクスリと笑みを浮かべると、貴方の肉棒に軽く自分の
足裏を当てて、ぐりぐりと押し付ける。",""
"<可憐>
『なんとなく、分かるんだよね。レベルドレインのやり方♡
  君も、分かってるんでしょ？』",""
"可憐は妖艶に笑い、
軽く足で肉棒を弄びながら、貴方を見下ろしてそう確認する。",""
"<可憐>
『勝負がついた後、
　射精しちゃえば一緒にレベルまで吸い取られちゃう♡』",""
"<可憐>
『でも、勝負がついてから動けないのはほんの少しの間だけ。
　だから、もしレベルを吸い取られたくないなら、
　そのほんの少しの間だけ我慢すればいいだけだよ♡』",""
"<可憐>
『まぁ、私は我慢させる気はないけどね♡
　君を負かした私の足コキで、
　今度はレベルまで搾り取ってあげる♪』",""
"可憐はそう煽ると、
リズムカルに足でぐっぐっと肉棒を押し始める。
弱点に押し当てながら、愛撫する様に足を滑らかに動かす。",""
"<可憐>
『くす♪君が夢中になっちゃった私の足コキ♪
　今度はちゃんと我慢できるかな？』",""
"貴方の弱点を把握したように肉棒に絡みつく足先に、
思わず腰を浮かせてしまう。",""
"<可憐>
『ほらほら、ちゃんと我慢しないと♡
　自分が負けた女の子に、経験値まで吸いとられちゃうよ？』",""
"可憐はからかうようにそう言葉を紡ぐ。
射精するわけにはいかない、
可憐の言葉に改めて意識させられても、
せりのぼる快感を抑えきれそうにない。",""
"<可憐>
『そんなに喘いじゃうくらい私の足コキが気持ちいいんだ？
　足なんかで感じちゃうなんて、
　\n[1]君は変態なんだね♡』",""
"貴方が快感を堪える様子を楽しそうに見下ろしながら、
可憐はぐりぐりと肉棒を足で圧迫する。",""
"可憐は快感になれさせない様に、
時々亀頭を足裏で押し付けるように撫でながら、
竿の部分を激しく擦り始める。",""
"熟達した可憐の足さばきに、
貴方の肉棒はみるみる追い詰められていく。",""
"<可憐>
『ほら、もう我慢汁まで出てきちゃった♡
  この調子で君の大事なレベル、
　足コキで搾りだして奪ってあげるね♪』",""
"<可憐>
『\n[1]君の弱いところ、もう分かっちゃってるんだから♡
　すぐに、イかせちゃうよ。』",""
"<可憐>
『ほらほら♡
　ぐりぐりって激しく裏筋擦られるの気持ちいいでしょ？
　ここを擦るたびにどんどん我慢汁あふれてくる♡』",""
"可憐は貴方の反応を観察し、的確に弱点に足裏を擦りつける。
柔らかな足裏は我慢汁でぬるぬるになり、
それが潤滑油となって肉棒を追い詰める。",""
"容赦のない可憐の足コキに、
イくわけにはいかないと堪える貴方の我慢の限界も
近くまで訪れてしまう。",""
"<可憐>
『おちんぽビクビク震えてきちゃったね♡
　もうイっちゃいそうなんだ♡』",""
"<可憐>
『……くす♪違う違う、なんて首を振っても無駄だよ？
　おちんぽの反応で丸わかりだからね♪』",""
"可憐は必死に首を振る貴方の強がりを見抜きながら、
肉棒をぐりぐりとすり潰す速度を上げていき、
貴方の我慢にトドメをさしにかかる。",""
"<可憐>
『おちんぽからどんどん我慢汁あふれてくる♡
　イっちゃってもいいよ♡』",""
"<可憐>
『\n[1]君の冒険は女の子に負けて、
　レベルを奪われるところから始まっちゃうの♪』",""
"<可憐>
『悔しい？でも我慢できないんだから仕方ないよね。
　ほらほらほら！私の足に経験値捧げちゃえ♡』",""
"\C[18]EXP\v[20]\C[0]を失った！
レベル\v[5]→\C[18]レベル\v[6]",""
"可憐の激しい足さばきに屈し、
ついに肉棒は精を可憐の足に放ってしまう。
それと同時に確かに自分の力が奪われていく感覚も覚える。",""
"<可憐>
『くす♪\n[1]君の大事なレベル、
　私に搾り取られちゃったね♡』",""
"可憐は足にかかった精液を貴方に見せつける。
それは貴方の敗北の証であり、
それを直視できずに貴方は顔を背けてしまう。",""
"<可憐>
『これが、人からレベルを奪い取るって感覚なんだね。
　ちょっと癖になっちゃうかも♡』",""
"楽しそうに笑う可憐の声があたりに響く。
貴方は快感と屈辱の余韻に浸りながら、落ち着くために息を
深く吸い込もうとする。",""
"<可憐>
『さて、と。じゃあ、続きやろっか。』",""
"可憐はそう言いながら再び貴方の肉棒に足を押し当て、
振動させ始める。",""
"<可憐>
『何驚いた顔してるの？君だって、
　まだペナルティタイムが終わってないって
　感覚で分かってるでしょ？』",""
"<可憐>
『時間内にもう1回搾り取ってあげるね♪
　弱いおちんぽから、君の大事なレベル♡』",""
"貴方の意思を無視して、激しい快感が肉棒に与えられる。
可憐はぐっぐっと敏感な亀頭を足で踏みにじり、裏筋を足先で
撫でるようにすり潰す。",""
"1回のレベルダウンですら出だしとしては手痛いもの。
2回もレベルダウンするわけにはいかない。",""
"そう考えて貴方は必死に歯を食いしばって快感を堪える。
しかし、可憐の巧みな足さばきに徐々に快感に脳が支配されて
いく。",""
"<可憐>
『嫌だ、なんて言ってもだめ♡
　恨むなら、自分の弱いおちんぽを恨んでね？』",""
"<可憐>
『戦闘にも負けちゃって、
　2回もレベルドレインされちゃう弱い君のおちんぽ♡』",""
"言葉責めされながらの足コキに、
着実に貴方は追い詰められていく。
次第に、また我慢汁があふれて出してしまう。",""
"<可憐>
『ほら、また気持ちよくなってきちゃったでしょ？
　\n[1]君に私の足コキが我慢できるわけないよ♡』",""
"<可憐>:
『もう何度も搾り取られちゃってるんだから、
　いい加減諦めて？諦めて、
　私の足コキに溺れちゃったほうが気持ちいいよ♡』",""
"可憐はそう諭すように言いながら足コキを続ける。
そんな言葉に流されるわけにはいかない、と理性を強く持って
も、すぐに足コキによって与えられる快感に流されてしまう。",""
"貴方の身体はもう、可憐の足コキに再び屈しかけていた。",""
"<可憐>
『くす♪もう精液でちゃいそう？
　また、私にレベルドレインされちゃうんだね♡』",""
"<可憐>
『\n[1]君の弱いおちんぽじゃ耐えられないなんてこと、
　最初から分かってたよ♡』",""
"<可憐>
『また、激しい足コキでトドメさせてあげるね♪
　びゅびゅってレベルまき散らしちゃえ♡』",""
"再び激しくなった可憐の足コキに、
貴方の肉棒はたやすく屈してしまう。
負けた証をぶちまけるように、
大量の精液を噴き出すようにして可憐の足にふりかける。",""
"それと同時に、
また貴方の力が可憐に吸い取られる感覚を覚える。
それは、確かにレベルドレインされたという感覚を、
貴方の身体に刻み込むような快感だった。",""
"<可憐>
『ごちそうさま♡
　\n[1]君の経験値、いっぱいもらっちゃったね♪』",""
"ぐったりとする貴方を可憐はくすくすと笑いながら見下ろす。
それと同時に、
どこか身体を支配していた倦怠感が薄れていくのを感じる。",""
"<可憐>:『あ、ペナルティタイムは終わりみたい。
　　　　 ギリギリで2レベル、搾り取れてよかった♪』",""
"可憐の方にも何か感覚があったのか、
いたずらっぽく笑いながら貴方にそう言葉を告げる。
改めてこの少女に負けたことを意識すると、
恥ずかしさがせりあがってくる。",""
"<可憐>
『これで、私はいいスタートが切れそうかな♪
　私が言うのもおこがましいと思うけど、
　\n[1]君も頑張ってね？』",""
"彼女は可愛らしくウインクしながら貴方にそう告げる。
悪いスタートの原因となった彼女がそう言うのは、
確かに変なのかもしれない。",""
"それでも、精一杯の見栄を切って貴方は可憐に君こそ頑張れ、
とそう伝える。",""
"<可憐>
『ありがと♪じゃあ、私は先に行くね？
　また会ったら、PvPもう1回しようね！』",""
"そう言って可憐は貴方の元を去っていく",""
"”1層にて可憐と戦う”","Fight Karen on the first floor."
"EV003",""
"ダンジョンに戻りますか？
【回想部屋でのレベルの上下は、
　ダンジョンに戻るときにリセットされます】",""
"EV004",""
"レベル調整用クリスタルです","This is a level changing crystal."
"レベルを上げる","Increase your level"
"レベルを下げる","Decrease your level"
"何もしない","Don't use it"
"いくつレベルを上げますか？","How many levels do you want to increase?"
"いくつレベルを下げますか？","How many levels do you want to decrease?"
"小悪魔B",""
"小悪魔Bと戦闘を行いますか？","Fight Imp B?"
"<小悪魔B>
『もう終わりなの？
　負けちゃったらどうなるか…分かってるわよね？』",""
"小悪魔は身体が動かなくなった貴方に、
脅すような笑みを浮かべる。",""
"<小悪魔B>
『貴方はこのまま、
　私にすべての力を吸い尽くされちゃうのよ。
　おっぱいに負けちゃう弱い男にはお似合いの最期よね♡』",""
"小悪魔は嘲りながらそう言うと、
肉棒を谷間に招き入れ、柔らかく両側から圧迫する。",""
"吸い付くような柔らかさの乳房に、
これから力を吸い取られるというのに、
肉棒はピクリと喜びの反応を示してしまう。",""
"<小悪魔B>
『嫌なら頑張って耐えることね。
　弱いおちんぽにはそんなことできないと思うけど♡』",""
"<小悪魔B>
『ほら♡おっぱいに軽く挟まれてるだけで、
　嬉しそうに震えちゃってる♡
　また負けたいよーっておねだりかしら♡』",""
"小悪魔はからかうようにそう言いながら、
肉棒の反応を楽しむようにたぷたぷと乳房を弾ませる。
柔らかい乳肉に軽く擦れる快楽が貴方を支配し、
彼女の言葉への反論が掻き消えていく。",""
"<小悪魔B>
『ふふ♡それならちゃんと負けさせてあげるわ♡
　私のパイズリで、またよがっちゃいなさい♡』",""
"小悪魔はリズムカルに乳房を上下に振り始める。
柔らかな乳肉に肉棒全体が擦られ、
谷間の中で肉棒が溶かされていくような錯覚を覚える。",""
"<小悪魔B>
『ほらほらぁ♡ここが気持ちいいんでしょ？
　先っぽをたくさんおっぱいで虐めてあげるわね♡』",""
"小悪魔は乳房を軽く浮かせる。
そして、カリ首に乳肉を引っかけるようにしながら、
たぷんたぷんと激しく上下に乳房を振る。",""
"男の弱点を的確に攻め立てるようなパイズリに、
貴方のほほは思わず緩んでしまう。",""
"<小悪魔B>
『ふふ、ずいぶんとろけた顔をしちゃうのね♡
　おっぱいに力を吸われちゃうのがそんなに嬉しいの？』",""
"<小悪魔B>
『ここに来るまでに必死にためた貴方の力♡
　全部私のおっぱいに搾り取られちゃうのに、
　気持ちよくなっちゃうのね♡変態♡』",""
"ここまでの冒険がすべて無駄になる…………
そう告げられているのに、パイズリによる快感に我慢できず、
喘ぎ声が出てしまう。",""
"小悪魔はそんな貴方の反応を楽しそうに見つめながら、
じっくりと搾りだすように乳房の圧迫を強め、
パイズリを続ける。",""
"<小悪魔B>
『本当に弱いおちんぽね♡
　おっぱいに弄ばれて、もう負けちゃいそう♡』",""
"<小悪魔B>
『ほらほら、女の象徴に弄ばれて
　手も足も出ないなんて恥ずかしくないの？
　少しは意地を見せてみなさい♡』",""
"乳房に弄ばれるままの貴方を小悪魔はそう叱咤しながら、
肉棒を追い詰めるようにむにゅぅっと締め付ける。",""
"肉棒全体が四方から柔らかな乳肉に圧迫され、
とろけるような快楽に腰が浮いてしまう。
意地を見せろ、といわれても、もう長く我慢できそうにない。",""
"それでも、小悪魔の挑発的な視線に触発されて、
貴方は手のひらを握りしめ、
歯を食いしばって快感に耐えようとする。",""
"<小悪魔B>
『そうそう、その調子よ♡
　簡単に搾り切ったらつまらないもの。
　じっくり楽しみましょう？』",""
"小悪魔は強く締め付けた乳房を、ゆっくりと上下に振る。
ほんのわずかな動きでも、肉棒全体が柔らかな感触に擦られ、
強い快楽を感じてしまう。",""
"<小悪魔B>
『ほら、ゆっくり動かしてあげるわ。
　まさかこんなゆっくりとしたパイズリに、
　負けちゃったりしないわよね？』",""
"小悪魔は試すような口調で、
ゆっくりと乳房を揺さぶり続ける。
乳房が軽く弾むたびに、
むにゅんと柔らかな乳肉が貴方の弱点に絡みつく。",""
"<小悪魔B>
『ふふ、こうしてゆっくりおっぱいを動かしていると、
　貴方のちんぽをおっぱいで溶かしちゃってるみたいね♡』",""
"くすくすと小さく笑いながら、小悪魔はパイズリを続ける。
じっくりといたぶられるようなパイズリは、
確かに貴方の肉棒に溶かされるような快感を与えていく。",""
"そんな彼女の乳房による愛撫に、こらえきれず、
ついに肉棒から先走りがとろりとあふれてしまう。",""
"<小悪魔B>
『おちんちん、泣いてきちゃったわ♡
　こんなにゆっくりとした動きでもおっぱいに負けちゃうの？
　情けない男ね♡』",""
"小悪魔の嘲るような声にも、
せりあがってくる射精感は止められない。
とろり、とろりと先走りがあふれ続け、
密着した小悪魔の乳房にぬめりを与えていく。",""
"<小悪魔B>
『もう我慢汁止まらないわね♡
　もうそろそろイきそうなんでしょ？
　おっぱいで貴方の力、搾ってあげる♡』",""
"<小悪魔B>
『こんなに弱いおちんぽじゃ、
　力なんて持っていても宝のもち腐れだもの♡
　力の方が可哀そうだわ♡』",""
"小悪魔は小ばかにしたようにそう言いながら、
ゆっくりと乳圧をさらに強めていく。",""
"甘い圧迫感に肉棒が包み込まれ、
むにゅむにゅと柔らかく乳肉に擦られれば、
もう射精感を我慢できそうになく腰が浮いてしまう。",""
"<小悪魔B>
『ふふ♡
　パイズリに負けて漏れ出しちゃう貴方の力、
　おっぱいで受け止めてあげる♡』",""
"小悪魔は貴方の反応を見て肉棒の限界を察すると、
トドメをさすように乳房で肉棒を激しく上下に扱く。",""
"<小悪魔B>
『ほらほらぁ♡
　惨めにおっぱいに負けて敗北射精しなさい♡』",""
"トドメをさすようなパイズリで肉棒をもみくちゃにされ、
貴方の我慢はあっけなく決壊して精液が噴き出してしまう。",""
"<小悪魔B>
『ふふ♡貴方の力、
　おっぱいにたくさん出しちゃったわね♡』",""
"<小悪魔B>
『でも、これで全部じゃないでしょう？
　まだまだパイズリを続けてあげるわ♡
　空っぽになるまで出し尽くしなさい♡』",""
"<小悪魔B>
『このままパイズリでゲームオーバーにしてしまうから♡
　弱いちんぽ、全部私のおっぱいに搾り取られちゃうの♡』",""
"小悪魔は乳房を激しく動かし、
残った精液を搾り取るようなパイズリを行う。",""
"射精直後の敏感な肉棒への激しい責めも、
先ほど出した精液でぬめる乳房では快感のみが感じられ、
快楽に悲鳴が出てしまう。",""
"<小悪魔B>
『どうせパイズリに勝てない弱いおちんぽなんだから、
　さっさとイっちゃいなさい♡むにゅむにゅ♡』",""
"馬鹿にしたような小悪魔の声を聴きながら、
このままでは魂まで全て搾り取られる、そう恐怖する。
その恐怖から貴方は必死に快楽に耐えようとする。",""
"<小悪魔B>
『我慢なんてしても無駄だって教えてあげたわよね？
　今更後悔しても遅いわよ♡むにゅぅっ♡』",""
"そんな貴方の我慢を嘲笑うように、
小悪魔は肉棒を乳房で強く締め付けたまま、
貴方の腰にたたきつける様にぱんぱんと振り下ろす。",""
"暴力的な快楽に、
貴方の肉棒からはとめどなく我慢汁があふれ出してしまう。",""
"<小悪魔B>
『くす♡もうおちんぽ泣いちゃった♡
　このまま、すぐに負け汁も搾り取ってあげるわね♡』",""
"柔らかな乳房は肉棒全体に絡みつきながら、
むにゅむにゅと激しくすり潰すように愛撫する。",""
"一切の容赦がない激しいパイズリに、
貴方の目の奥でチカチカと星が舞う。
ガクガクと腰が震え始め、精液がせりのぼってきてしまう。",""
"<小悪魔B>
『ほらほらぁ♡イっちゃいなさいよ♡
　弱いおちんぽ、おっぱいに屈服射精しなさい♡』",""
"乳房に激しく肉棒を擦られると、貴方は言われるがまま、
腰を突き上げて思いっきり射精してしまう。",""
"<小悪魔B>
『ふふ♡まだまだ♡
　最期に気持ちいい思いが出来るんだから、本望よね？
　私のパイズリでイき狂いなさい♡』",""
"小悪魔は射精の最中もパイズリを緩めず、
残る精液を全て搾り取る様に激しく肉棒を乳房で揺さぶる。
激しい責めに、手足が痙攣するも、彼女は気にも留めない。",""
"<小悪魔B>
『逝け♡自分が負けたおっぱいに殺されて……
　天国でもこれを思い出しながらオナニーしてなさい♡』",""
"貴方はただ快楽に支配され、何も考えらえなくなりながら、
彼女の乳房にありったけの精液をぶちまける。",""
"ただ小悪魔のおっぱいの感触に脳内を支配されながら、
貴方の意識は失われていった。",""
"”1層にて小悪魔Bと戦う”","Fight Imp B on the first floor."
"ロリダークエルフ",""
"ロリダークエルフと戦闘を行いますか？","Fight Loli Dark Elf?"
"<ロリダークエルフ>
『もう動けない？乳首弄られて負けちゃったんだ。
　変態。』",""
"貴方は彼女の乳首責めに屈し、動けなくなってしまった。
ロリダークエルフはそんな貴方を軽蔑の視線で見つめている。",""
"<ロリダークエルフ>
『もう動けないなら、
　このまま貴方のレベルを吸い尽くしてあげる。』",""
"<ロリダークエルフ>
『私に乳首弄られて、ゲームオーバーになれ。
　男として、一番情けないゲームオーバー。』",""
"ロリダークエルフは冷たくそう言いながら、
貴方の乳首に唇を近づけ、ふぅ～と吐息を吹きかけます。",""
"<ロリダークエルフ>
『これから私にされること、期待して乳首固くなってる。
　レベルを吸い尽くされるのがそんなに嬉しいの？…れろ♡』",""
"貴方を上目づかいで見ながら、
彼女は乳首に自分の小さな舌を当て、舌先で乳首をくすぐる。",""
"<ロリダークエルフ>
『少し乳首舐めただけで、おちんちんもギンギン。
　こっちも弱点だって、私にアピールしてる。』",""
"<ロリダークエルフ>
『同時に責められたら我慢できないのに、
　触ってって、震えながらアピールしてる。』",""
"<ロリダークエルフ>
『変態。これからレベルを全部吸い取られるのに、
　気持ちよくなることの方が大事なんだね。れろれろ♡』",""
"ロリダークエルフは乳首に丁寧に舌を這わせながら、
勃起した肉棒に手を伸ばし、手のひらで包み込む。",""
"2つの部位にもたらされる快感に、
貴方は彼女の言葉を否定できず、喘ぎ声を漏らしてしまう。",""
"<ロリダークエルフ>
『気持ちよさそうな声。
　女に乳首なめられて、おちんちんにぎにぎされて、
　そんな声出すなんて恥ずかしくないの？』",""
"<ロリダークエルフ>
『乳首、男が弱点だったら恥ずかしい場所なのに。
　れろれろ♡』",""
"貴方を言葉でそう責め立てながら、
ロリダークエルフは小さな舌先で乳首をくすぐる。",""
"同時にゆっくりと手を上下に動かし、肉棒を愛撫する。
2つの快感が混ざり合い、
増幅されて貴方の頭の中を快楽が埋め尽くす。",""
"<ロリダークエルフ>
『戦闘中に私に開発されて、さらに弱くなった乳首。
　弄られたら女みたいな喘ぎ声、止まらないね。れろれろ♡』",""
"ロリダークエルフの言う通り、
彼女の小さな舌が乳首を押すたびに、
電流のような快感が貴方の身体に流れ、
びくんっと腰を動かしてしまう。",""
"<ロリダークエルフ>
『このまま、乳首舐められてイかされちゃう。
　必死に上げたレベル、私に吸い取られちゃう。』",""
"<ロリダークエルフ>
『でも仕方ない。
　男のくせに乳首が弱点の変態が、私に勝てるわけない。』",""
"<ロリダークエルフ>
『こうして女に乳首をなめられて喘いでるだけの変態が、
　射精を我慢できるわけない。れろれろ♡』　",""
"ロリダークエルフは貴方にそう言いながら、
乳首に舌を這わせ、シコシコと肉棒を上下に扱く。",""
"小さい真っ赤な舌や、細い指先により弱点を愛撫され、
貴方の肉棒は快感に震えながらとろりと我慢汁を溢れさせる。",""
"<ロリダークエルフ>
『ほら、ぬるぬるしてきた。
　おちんちんが負けちゃいそうな証拠。』",""
"<ロリダークエルフ>
『顔も緩んで、情けない顔になってる。
　じっと私が乳首舐めてるとこ見て、興奮してる？』",""
"<ロリダークエルフ>
『男が気持ちよくなったら恥ずかしい弱点。
　私に見つめられながら舐められて、感じてるんだ。変態。』",""
"ロリダークエルフの舌が、円を描くように乳首を舐めまわす。
彼女の真っ赤な舌に愛撫されている光景に、
貴方は嫌でも興奮を掻き立てられてしまう。",""
"<ロリダークエルフ>
『おちんちんのぬるぬる、止まらない。
　そろそろレベル、でちゃいそう？』",""
"<ロリダークエルフ>
『レベル、出しちゃうときの恥ずかしい顔も見てる。
　我慢なんて無駄。できるわけない。』　",""
"ロリダークエルフは手で搾る出すように強く肉棒を握ると、
激しく上下に動かし始める。
我慢汁が絡み、ぐちゅぐちゅと音を立てながらの手コキに、
貴方の限界は近づく。",""
"<ロリダークエルフ>
『腰、浮いてきた。
　弱点激しく責められて、限界？』",""
"<ロリダークエルフ>
『貴方が好きな方の弱点も、激しく責めてあげる。
　ちゅ……れろれろ♡』",""
"ロリダークエルフは、貴方の乳首を柔らかい唇で挟み、
すぼめながらちゅっと吸い上げる。
そのまま、激しく舌先で乳首をはじく。",""
"乳首と肉棒、その両方に与えられる激しい責めに、
どんどん精液がのぼってきてしまう。",""
"<ロリダークエルフ>
『れろれろ♡耐えられないでしょ？
　乳首もおちんちんも気持ちいい。』",""
"<ロリダークエルフ>
『2つも弱点持ってる変態が、
　私の激しい責めに耐えられるわけない。』",""
